city,year,weekofyear,total_cases
iq,2013,3,100
iq,2013,4,76
iq,2013,5,98
iq,2013,6,77
iq,2013,7,73
iq,2013,8,64
iq,2013,9,59
iq,2013,10,57
iq,2013,11,59
iq,2013,12,53
iq,2013,13,53
iq,2013,14,49
iq,2013,15,46
iq,2013,16,43
iq,2013,17,36
iq,2013,18,33
iq,2013,19,28
iq,2013,20,27
iq,2013,21,24
iq,2013,22,26
iq,2013,23,24
iq,2013,24,27
iq,2013,25,27
iq,2013,26,24
